code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,开盘价,开板价格,开板涨幅%(未开板未截止目前累计涨幅%),涨停板个数,历史最高,历史最高涨幅%,现价
300741,华宝股份,食品,西藏,24.45,0.62,6.16,622079.06,457391.06,27562.1,235606.55,3.83,1.864,10.11,4.51,20180301,240958.8,3.91,-15.96,-9.13,78.44,52.24,116925.0,46.32,54.84,18.393782383419698,1,59.95,29.425734024179626,45.57
603661,恒林股份,家居用品,浙江,23.97,0.25,1.0,124673.0,74874.81,29997.81,1315.32,0.13,1.636,10.82,4.83,20171121,68554.25,6.86,0.0,0.0,27.36,11.47,26922.0,0.0,0,0.0,0,0.0,0.0,0.0
002881,美格智能,通信设备,深圳,101.08,0.27,1.07,77346.85,67621.35,8601.21,24616.73,2.31,0.28,4.65,6.85,20170622,10081.98,0.95,0.0,0.0,23.32,5.7,13362.0,11.83,35.71,201.85967878275574,11,41.8,253.33896872358412,31.85
603721,中广天择,影视音像,湖南,34.11,0.25,1.0,61893.11,47351.05,2055.42,25867.75,2.59,0.73,5.36,4.84,20170811,16323.5,1.63,0.0,0.0,32.12,20.42,14613.0,0.0,0,0.0,0,0.0,0.0,0.0
603156,养元饮品,软饮料,河北,18.53,0.43,5.38,835464.31,634560.81,66841.34,0.0,0.0,2.915,13.24,5.44,20180212,580935.38,10.8,0.0,0.0,47.63,28.72,41616.0,0.0,0,0.0,0,0.0,0.0,0.0
002861,瀛通通讯,通信设备,湖北,39.69,0.31,1.23,114504.86,86278.3,18259.1,45666.53,3.72,0.57,8.31,3.24,20170413,40755.85,3.32,0.0,0.0,30.24,11.99,21554.0,20.7,42.69,106.23188405797102,7,47.78,130.82125603864733,26.96
002876,三利谱,元器件,深圳,62.79,0.2,0.8,174328.63,124001.57,34008.53,36625.09,4.58,0.81,10.64,5.49,20170525,36815.03,4.6,0.0,0.0,27.49,9.14,6306.0,22.94,52.5,128.85789014821273,8,89.37,289.5815170008719,58.4
603683,晶华新材,化工原料,上海,66.64,0.32,1.27,88089.88,39970.21,15752.0,13909.86,1.1,0.33,5.28,4.2,20171020,25649.57,2.02,0.0,0.0,23.95,6.04,32784.0,0.0,0,0.0,0,0.0,0.0,0.0
601019,山东出版,出版业,山东,16.49,2.67,20.87,1068312.38,725092.69,163901.67,-16731.32,-0.08,0.462,3.12,3.26,20171122,384289.41,1.84,0.0,0.0,35.41,15.33,245615.0,12.19,16.79,37.73584905660377,3,18.5,51.76374077112387,10.16
603180,金牌厨柜,家居用品,福建,64.72,0.17,0.68,158026.97,97576.7,43106.1,44441.73,6.58,2.78,12.81,12.48,20170512,30902.05,4.58,31.22,73.29,39.14,11.56,8276.0,0.0,0,0.0,0,0.0,0.0,0.0
